pubukprn,kismode,mytarsbj,title,kisaimcode,crseurl,legal_name,provaddress,A*A*A*A* and above,A*A*AC and above,A*A*A and above,AAA and above,ABB and above,BBC and above,CCC and above,Below CCC
10000961,01,CAH10-01-03,Mechanical Engineering,008,http://www.brunel.ac.uk/study/undergraduate/Mechanical-Engineering-BEng,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,15,10,0,25,15,15,10
10000961,01,CAH10-01-02,Mechanical Engineering with Placement Year,008,http://www.brunel.ac.uk/study/undergraduate/Mechanical-Engineering-BEng,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,10,30,15,5,25,15,5
10000961,01,NA,Nursing (Adult),021,http://www.brunel.ac.uk/study/undergraduate/nursing-adult-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,0,10,10,30,25,25,0
10000961,01,CAH10-01-07,Civil Engineering (Flood and Coastal Engineering),008,https://www.brunel.ac.uk/study/undergraduate/civil-engineering-flood-and-coastal-engineering-beng,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,0,40,0,20,15,20,0
10000961,01,CAH10-01-07,Civil Engineering (Flood and Coastal Engineering) with Placement Year,008,https://www.brunel.ac.uk/study/undergraduate/civil-engineering-flood-and-coastal-engineering-beng,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,0,40,0,20,15,20,0
10000961,01,CAH10-01-07,Civil Engineering (Flood and Coastal Engineering) - integrated,056,https://www.brunel.ac.uk/study/undergraduate/civil-engineering-flood-and-coastal-engineering-meng,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,0,40,0,20,15,20,0
10000961,01,CAH10-01-07,Civil Engineering (Flood and Coastal Engineering) - integrated with Placement Year,056,https://www.brunel.ac.uk/study/undergraduate/civil-engineering-flood-and-coastal-engineering-meng,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,0,40,0,20,15,20,0
10000961,01,CAH17-01,Marketing,021,https://www.brunel.ac.uk/study/undergraduate/marketing-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,1,6,12,23,18,21,14
10000961,01,CAH17-01,Marketing with placement year,021,https://www.brunel.ac.uk/study/undergraduate/marketing-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,1,6,12,23,18,21,14
10000961,01,CAH15-01-02,Sociology (Digital Media),021,https://www.brunel.ac.uk/study/undergraduate/sociology-digital-media-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,0,5,5,15,15,15,40
10000961,01,CAH15-01-02,Sociology (Digital Media) with Placement Year,021,https://www.brunel.ac.uk/study/undergraduate/sociology-digital-media-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,0,5,5,15,15,15,40
10000961,01,CAH15-01-02,Sociology (Digital Media) with Placements,021,https://www.brunel.ac.uk/study/undergraduate/sociology-digital-media-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,0,5,5,15,15,15,40
10000961,01,CAH10-01-08,Electronic and Electrical Engineering (Communication Systems),008,https://www.brunel.ac.uk/study/undergraduate/electronic-and-electrical-engineering-communication-systems-beng,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,5,20,5,15,20,20,10
10000961,01,CAH10-01-08,Electronic & Electrical Engineering (Communication Systems) with Placement Year,008,https://www.brunel.ac.uk/study/undergraduate/electronic-and-electrical-engineering-communication-systems-beng,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,5,20,5,15,20,20,10
10000961,01,CAH17-01-02,Business Management with Entrepreneurship,021,https://www.brunel.ac.uk/study/undergraduate/business-management-with-entrepreneurship-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,1,7,16,27,17,17,9
10000961,01,CAH17-01-02,Business Management with Entrepreneurship with placement year,021,https://www.brunel.ac.uk/study/undergraduate/business-management-with-entrepreneurship-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,1,7,16,27,17,17,9
10000961,01,CAH17-01-02,Human Resource Management,021,https://www.brunel.ac.uk/study/undergraduate/human-resource-management-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,1,7,16,27,17,17,9
10000961,01,CAH17-01-02,Human Resource Management with Placement Year,021,https://www.brunel.ac.uk/study/undergraduate/human-resource-management-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,1,7,16,27,17,17,9
10000961,01,NA,Occupational Therapy,021,https://www.brunel.ac.uk/study/undergraduate/occupational-therapy-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,0,20,35,15,15,5,0
